id	name	retailprices
CHN	China	"unknown"
IND	India	"unknown"
USA	United States	"93"
IDN	Indonesia	"unknown"
BRA	Brazil	"unknown"
PAK	Pakistan	"unknown"
BGD	Bangladesh	"unknown"
NGA	Nigeria	"unknown"
RUS	Russia	"unknown"
JPN	Japan	"unknown"
MEX	Mexico	"unknown"
PHL	Philippines	"unknown"
VNM	Vietnam	"unknown"
ETH	Ethiopia	"unknown"
DEU	Germany	"84"
EGY	Egypt	"unknown"
TUR	Turkey	"unknown"
COD	"Congo, Democratic Republic of the"	"unknown"
IRN	Iran	"unknown"
THA	Thailand	"unknown"
FRA	France	"71"
GBR	United Kingdom	"54"
ITA	Italy	"87"
MMR	Burma	"unknown"
ZAF	South Africa	"unknown"
KOR	"Korea, South"	"unknown"
UKR	Ukraine	"unknown"
COL	Colombia	"unknown"
SDN	Sudan	"unknown"
TZA	Tanzania	"unknown"
ARG	Argentina	"unknown"
ESP	Spain	"64"
KEN	Kenya	"unknown"
POL	Poland	"unknown"
DZA	Algeria	"unknown"
CAN	Canada	"unknown"
UGA	Uganda	"unknown"
MAR	Morocco	"unknown"
PER	Peru	"unknown"
IRQ	Iraq	"unknown"
SAU	Saudi Arabia	"unknown"
AFG	Afghanistan	"unknown"
NPL	Nepal	"unknown"
UZB	Uzbekistan	"unknown"
VEN	Venezuela	"unknown"
MYS	Malaysia	"unknown"
GHA	Ghana	"unknown"
YEM	Yemen	"unknown"
TWN	Taiwan	"unknown"
PRK	"Korea, North"	"unknown"
SYR	Syria	"unknown"
ROU	Romania	"unknown"
MOZ	Mozambique	"unknown"
AUS	Australia	"unknown"
LKA	Sri Lanka	"unknown"
MDG	Madagascar	"unknown"
CIV	Cote d'Ivoire	"unknown"
CMR	Cameroon	"unknown"
NLD	Netherlands	"69"
CHL	Chile	"unknown"
BFA	Burkina Faso	"unknown"
NER	Niger	"unknown"
KAZ	Kazakhstan	"unknown"
MWI	Malawi	"unknown"
ECU	Ecuador	"unknown"
KHM	Cambodia	"unknown"
SEN	Senegal	"unknown"
MLI	Mali	"unknown"
GTM	Guatemala	"unknown"
AGO	Angola	"unknown"
ZMB	Zambia	"unknown"
ZWE	Zimbabwe	"unknown"
CUB	Cuba	"unknown"
RWA	Rwanda	"unknown"
GRC	Greece	"94"
PRT	Portugal	"63"
TUN	Tunisia	"unknown"
TCD	Chad	"unknown"
BEL	Belgium	"59"
GIN	Guinea	"unknown"
CZE	Czech Republic	"unknown"
SOM	Somalia	"unknown"
BOL	Bolivia	"unknown"
HUN	Hungary	"unknown"
BDI	Burundi	"unknown"
DOM	Dominican Republic	"unknown"
BLR	Belarus	"unknown"
HTI	Haiti	"unknown"
SWE	Sweden	"117"
BEN	Benin	"unknown"
AZE	Azerbaijan	"unknown"
AUT	Austria	"111"
HND	Honduras	"unknown"
CHE	Switzerland	"78"
TJK	Tajikistan	"unknown"
ISR	Israel	"unknown"
SRB	Serbia	"unknown"
BGR	Bulgaria	"unknown"
HKG	Hong Kong	"unknown"
LAO	Laos	"unknown"
LBY	Libya	"unknown"
JOR	Jordan	"unknown"
PRY	Paraguay	"unknown"
TGO	Togo	"unknown"
PNG	Papua New Guinea	"unknown"
SLV	El Salvador	"unknown"
NIC	Nicaragua	"unknown"
ERI	Eritrea	"unknown"
DNK	Denmark	"74"
KGZ	Kyrgyzstan	"unknown"
SVK	Slovakia	"unknown"
FIN	Finland	"111"
SLE	Sierra Leone	"unknown"
ARE	United Arab Emirates	"unknown"
TKM	Turkmenistan	"unknown"
CAF	Central African Republic	"unknown"
SGP	Singapore	"unknown" not listed
NOR	Norway	"92"
BIH	Bosnia and Herzegovina	"unknown"
GEO	Georgia	"unknown"
CRI	Costa Rica	"unknown"
HRV	Croatia	"unknown"
MDA	Moldova	"unknown"
NZL	New Zealand	"unknown"
IRL	Ireland	"78"
COG	"Congo, Republic of the"	"unknown"
LBN	Lebanon	"unknown"
PRI	Puerto Rico	"unknown"
LBR	Liberia	"unknown"
ALB	Albania	"unknown"
LTU	Lithuania	"unknown"
URY	Uruguay	"unknown"
PAN	Panama	"unknown"
MRT	Mauritania	"unknown"
MNG	Mongolia	"unknown"
OMN	Oman	"unknown"
ARM	Armenia	"unknown"
JAM	Jamaica	"unknown"
KWT	Kuwait	"unknown"
PSE	West Bank	"unknown"
LVA	Latvia	"unknown"
NAM	Namibia	"unknown"
MKD	Macedonia	"unknown"
BWA	Botswana	"unknown"
SVN	Slovenia	"unknown"
LSO	Lesotho	"unknown"
GMB	"Gambia, The"	"unknown"
KWT	Kosovo	"unknown"
149	Gaza Strip	"unknown"  not listed
GNB	Guinea-Bissau	"unknown"
GAB	Gabon	"unknown"
SWZ	Swaziland	"unknown"
153	Mauritius	"unknown" not listed
EST	Estonia	"unknown"
TTO	Trinidad and Tobago	"unknown"
TLS	Timor-Leste	"unknown"
CYP	Cyprus	"unknown"
FJI	Fiji	"unknown"
QAT	Qatar	"unknown"
160	Comoros	"unknown"	not listed
GUY	Guyana	"unknown"
DJI	Djibouti	"unknown"
163	Bahrain	"unknown"	not listed
BTN	Bhutan	"unknown"
MNE	Montenegro	"unknown"
GNQ	Equatorial Guinea	"unknown"
