"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","OVEROBESE","MEASURED","PC_POP15","A","2014",63.4,
"AUT","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",46.7,
"BEL","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",48.1,
"CAN","OVEROBESE","MEASURED","PC_POP15","A","2013",60.3,
"CAN","OVEROBESE","MEASURED","PC_POP15","A","2015",64.1,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",52.1,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",52.5,
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2015",52.4,"B"
"CAN","OVEROBESE","SELFREPORTED","PC_POP15","A","2016",53.1,
"CZE","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",55.4,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",49.9,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",52.1,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2015",56,
"FIN","OVEROBESE","SELFREPORTED","PC_POP15","A","2016",56,
"FRA","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",46.1,
"DEU","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",52.4,
"DEU","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",50.7,
"GRC","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",56.2,
"HUN","OVEROBESE","MEASURED","PC_POP15","A","2014",62.3,
"HUN","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",54.5,
"ISL","OVEROBESE","SELFREPORTED","PC_POP15","A","2015",57.6,"B"
"IRL","OVEROBESE","MEASURED","PC_POP15","A","2015",61,
"IRL","OVEROBESE","MEASURED","PC_POP15","A","2017",62,
"IRL","OVEROBESE","SELFREPORTED","PC_POP15","A","2015",53,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",45.8,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",46.4,
"ITA","OVEROBESE","SELFREPORTED","PC_POP15","A","2015",45.2,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2013",24.1,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2014",24.7,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2015",23.8,
"JPN","OVEROBESE","MEASURED","PC_POP15","A","2016",25.4,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","2013",31.5,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","2014",30.8,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","2015",33.4,
"KOR","OVEROBESE","MEASURED","PC_POP15","A","2016",34.5,
"KOR","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",24.4,
"KOR","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",25,
"KOR","OVEROBESE","SELFREPORTED","PC_POP15","A","2015",26.1,
"KOR","OVEROBESE","SELFREPORTED","PC_POP15","A","2016",27.3,
"LUX","OVEROBESE","MEASURED","PC_POP15","A","2013",58.1,
"LUX","OVEROBESE","MEASURED","PC_POP15","A","2014",58.1,
"MEX","OVEROBESE","MEASURED","PC_POP15","A","2016",72.5,
"NLD","OVEROBESE","SELFREPORTED","PC_POP15","A","2013",45.6,
"NLD","OVEROBESE","SELFREPORTED","PC_POP15","A","2014",48.2,"B"
"NLD","OVEROBESE","SELFREPORTED","PC_POP15","A","2015",47.4,
"NLD","OVEROBESE","SELFREPORTED","PC_POP15","A","2016",47.6,
"NZL","OVEROBESE","MEASURED","PC_POP15","A","2013",64.8,
"NZL","OVEROBESE","MEASURED","PC_POP15","A","2014",65.1,
"NZL","OVEROBESE","MEASURED","PC_POP15","A","2015",65.6,
"NZL","OVEROBESE","MEASURED","PC_POP15","A","2016",66.8,
